Date : 2023-05-19 18:36:58
Directory : c:\Users\DASHAK\Downloads\4f56d7aea4adf29b
Total : 59 files,  35353 codes, 298 comments, 277 blanks, all 35928 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\backend\backend\migration.sql                                           | SQL                |         45 |          1 |          8 |         54 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\backend\backend\migrations.js                                           | JavaScript         |         13 |          4 |          2 |         19 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\backend\backend\package-lock.json                                       | JSON               |      2,153 |          0 |          1 |      2,154 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\backend\backend\package.json                                            | JSON               |         20 |          0 |          1 |         21 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\backend\backend\router\Router.js                                        | JavaScript         |         66 |          4 |          4 |         74 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\courses.sql                                                             | SQL                |         64 |          0 |         29 |         93 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\courses_achivements.sql                                                 | SQL                |          3 |          0 |          0 |          3 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\.idea\inspectionProfiles\Project_Default.xml          | XML                |          6 |          0 |          0 |          6 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\.idea\modules.xml                                     | XML                |          8 |          0 |          0 |          8 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\.idea\typescriptapp.iml                               | XML                |         12 |          0 |          0 |         12 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\.idea\vcs.xml                                         | XML                |          6 |          0 |          0 |          6 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\README.md                                             | Markdown           |         26 |          0 |         21 |         47 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\package-lock.json                                     | JSON               |     30,865 |          0 |          1 |     30,866 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\package.json                                          | JSON               |         56 |          0 |          1 |         57 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\public\index.html                                     | HTML               |         20 |         23 |          1 |         44 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\public\manifest.json                                  | JSON               |         25 |          0 |          1 |         26 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\App.css                                           | CSS                |         41 |          0 |          8 |         49 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\App.test.tsx                                      | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\App.tsx                                           | TypeScript JSX     |         94 |          4 |          5 |        103 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\components\Authorization\Authorization.module.css | CSS                |         77 |          0 |         11 |         88 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\components\Authorization\Authorization.tsx        | TypeScript JSX     |        112 |          0 |          9 |        121 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\components\Header\Header.module.css               | CSS                |         66 |          1 |         11 |         78 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\components\Header\Header.tsx                      | TypeScript JSX     |         15 |          0 |          5 |         20 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\components\Registration.module.css                | CSS                |         99 |          0 |         15 |        114 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\components\Registration.tsx                       | TypeScript JSX     |         89 |        186 |          7 |        282 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\components\images\cup-svgrepo-com.svg             | XML                |          2 |          0 |          0 |          2 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\components\images\iconProfile.svg                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\components\images\iconrandom2.svg                 | XML                |          3 |          0 |          1 |          4 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\components\images\no-view.svg                     | XML                |          8 |          0 |          1 |          9 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\components\images\settings.svg                    | XML                |          4 |          0 |          1 |          5 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\components\images\userPhoto.svg                   | XML                |         19 |          0 |          1 |         20 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\components\images\view.svg                        | XML                |          5 |          0 |          1 |          6 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\index.css                                         | CSS                |         12 |          0 |          2 |         14 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\index.tsx                                         | TypeScript JSX     |         17 |          3 |          3 |         23 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\logo.svg                                          | XML                |          1 |          0 |          0 |          1 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\pages\ExploreCoursePage.tsx                       | TypeScript JSX     |         61 |          0 |          7 |         68 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\pages\ExplorePage.module.css                      | CSS                |         45 |          0 |         10 |         55 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\pages\ExplorePage.tsx                             | TypeScript JSX     |        115 |          0 |          8 |        123 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\pages\MainPage.module.css                         | CSS                |         99 |          0 |         21 |        120 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\pages\MainPage.tsx                                | TypeScript JSX     |        137 |          0 |          5 |        142 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\pages\PracticePage.module.css                     | CSS                |         34 |          0 |          6 |         40 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\pages\PracticePage.tsx                            | TypeScript JSX     |        118 |          0 |          7 |        125 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\pages\PracticeTrainPage.tsx                       | TypeScript JSX     |         69 |          0 |          6 |         75 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\pages\UserPage.module.css                         | CSS                |        118 |          4 |         15 |        137 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\pages\UserPage.tsx                                | TypeScript JSX     |        144 |          0 |          9 |        153 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\react-app-env.d.ts                                | TypeScript         |          0 |          1 |          1 |          2 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\reportWebVitals.ts                                | TypeScript         |         13 |          0 |          3 |         16 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\src\setupTests.ts                                     | TypeScript         |          1 |          4 |          1 |          6 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\frontend\frontend\tsconfig.json                                         | JSON with Comments |         27 |          0 |          1 |         28 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\practics_achivements.sql                                                | SQL                |          3 |          0 |          0 |          3 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\practics_for_courses.sql                                                | SQL                |          3 |          0 |          0 |          3 |
| c:\Users\DASHAK\Downloads\4f56d7aea4adf29b\users.sql                                                               | SQL                |         12 |          0 |          0 |         12 |
| Total                                                                                                              |                    |     35,353 |        298 |        277 |     35,928 |
+--------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
